DE: Experiment,location,DE: Kamera,pointOfView,sceneId,DE: SceneID,DE: Basisszenario,DE: Links_RVA,leftOfBicycleLane,DE: Tr_li-Breite,divideLeftWidth,DE: Tr_li-Art,divideLeftCategory,DE: Tr_li-baulTrennung,divideLeftStructural,DE: Links_RVA+Tr_li-baulTrennung,leftOfBicycleLaneWithStructuralDivide,DE: RVA-Breite,bicycleLaneWidth,DE: Tr_re-Breite,divideRightWidth,DE: Tr_re-Art,divideRightCategory,DE: GW-Breite,pavementWidth,DE: GW-Geschäftsnutzung,pavementHasShows,DE: Breite RVA_nutzbar,bicycleLaneWidthUsable,DE: FS-Art,vehicleLaneUsage,DE: FS-Geschwindigkeit,vehicleLaneMaxspeed,DE: RVA-Lage,bicycleLaneLanes,DE: RVA-Oberfläche,bicycleLaneSurface,DE: Tr_li-Markierung,divideLeftMarking,DE: Tr_re-Markierung,divideRightMarking,DE: Parken,parkingCategory,DE: Seitenraum,rightOfBicycleLane,DE: Protected,divideIsPhysical,TODO: Tobias,DE: Richtungsfreigabe,todoMotorVehicleDirection,DE: besondere Merkmale,bicycleStreetType,DE: FS-Breite,motorVehicleWidth,DE: Verkehrsaufkommen,motorVehicleTrafficVolumen,vote0Unsafe,vote1RatherUnsafe,vote2Save,vote3VerySave,voteSum,voteCount,voteMeans
MS,primary_road,C,bicycle,01_MS_C_1221,,6,,,schmal,narrow,,-,Keine,none,-,-,breit,wide,breit,wide,,-,,-,,-,2.5,2.5,Kfz,motor_vehicle_only,50,50,FS-Parken/Seitenraum,TODO motor_vehicle_lane;bike_lane;parking_lane_or_pavement,Asphalt-Farbig,asphalt_colored,unterbrochen,interrupted,Doppellinie,double_line,Parken längs,parallel_parking,,-,,-,MS____Keine,,-,,-,,-,normal,low_traffic_volumen,"3,31%","18,18%","47,93%","30,58%","100,00%",82,"2,09"
MS,primary_road,C,bicycle,01_MS_C_1220,,6,,,schmal,narrow,,-,Keine,none,-,-,breit,wide,breit,wide,,-,,-,,-,2.5,2.5,Kfz,motor_vehicle_only,50,50,FS-Parken/Seitenraum,TODO motor_vehicle_lane;bike_lane;parking_lane_or_pavement,Asphalt-Farbig,asphalt_colored,durchgezogen,solid_line,Sperrfläche,prohibited_area,Parken längs,parallel_parking,,-,,-,MS____Keine,,-,,-,,-,normal,low_traffic_volumen,"3,28%","18,85%","50,00%","27,87%","100,00%",77,"1,92"
MS,primary_road,C,bicycle,01_MS_C_1219,,6,,,schmal,narrow,,-,Keine,none,-,-,breit,wide,schmal,narrow,,-,,-,,-,3,3,Kfz,motor_vehicle_only,50,50,FS-Parken/Seitenraum,TODO motor_vehicle_lane;bike_lane;parking_lane_or_pavement,Asphalt-Farbig,asphalt_colored,durchgezogen,solid_line,durchgezogen,solid_line,Parken längs,parallel_parking,,-,,-,MS____Keine,,-,,-,,-,normal,low_traffic_volumen,"1,71%","12,82%","49,57%","35,90%","100,00%",65,"2,18"
MS,primary_road,C,bicycle,01_MS_C_1218,,6,,,schmal,narrow,,-,Keine,none,-,-,breit,wide,breit,wide,,-,,-,,-,2.5,2.5,Kfz,motor_vehicle_only,50,50,FS-Parken/Seitenraum,TODO motor_vehicle_lane;bike_lane;parking_lane_or_pavement,Asphalt-Farbig,asphalt_colored,durchgezogen,solid_line,Doppellinie,double_line,Parken längs,parallel_parking,,-,,-,MS____Keine,,-,,-,,-,normal,low_traffic_volumen,"3,97%","15,87%","42,86%","37,30%","100,00%",78,"2,13"
MS,primary_road,C,bicycle,01_MS_C_1217,,6,,,breit,wide,,-,Keine,none,-,-,breit,wide,breit,wide,,-,,-,,-,2,2,Kfz,motor_vehicle_only,50,50,FS-Parken/Seitenraum,TODO motor_vehicle_lane;bike_lane;parking_lane_or_pavement,Asphalt-Farbig,asphalt_colored,Doppellinie,double_line,Sperrfläche,prohibited_area,Parken längs,parallel_parking,,-,,-,MS____Keine,,-,,-,,-,normal,low_traffic_volumen,"0,00%","17,21%","46,72%","36,07%","100,00%",80,"2,14"
MS,primary_road,C,bicycle,01_MS_C_1216,,6,,,breit,wide,,-,Keine,none,-,-,breit,wide,schmal,narrow,,-,,-,,-,2.5,2.5,Kfz,motor_vehicle_only,50,50,FS-Parken/Seitenraum,TODO motor_vehicle_lane;bike_lane;parking_lane_or_pavement,Asphalt-Farbig,asphalt_colored,Doppellinie,double_line,durchgezogen,solid_line,Parken längs,parallel_parking,,-,,-,MS____Keine,,-,,-,,-,normal,low_traffic_volumen,"4,92%","18,85%","42,62%","33,61%","100,00%",71,"2,06"
MS,primary_road,C,bicycle,01_MS_C_1215,,6,,,breit,wide,,-,Keine,none,-,-,breit,wide,breit,wide,,-,,-,,-,2,2,Kfz,motor_vehicle_only,50,50,FS-Parken/Seitenraum,TODO motor_vehicle_lane;bike_lane;parking_lane_or_pavement,Asphalt-Farbig,asphalt_colored,Doppellinie,double_line,Doppellinie,double_line,Parken längs,parallel_parking,,-,,-,MS____Keine,,-,,-,,-,normal,low_traffic_volumen,"5,22%","17,91%","50,00%","26,87%","100,00%",76,"1,87"
MS,primary_road,C,bicycle,01_MS_C_1196,,6,,,schmal,narrow,,-,Keine,none,-,-,breit,wide,breit,wide,,-,,-,,-,2.5,2.5,Kfz,motor_vehicle_only,30,30,FS-Parken/Seitenraum,TODO motor_vehicle_lane;bike_lane;parking_lane_or_pavement,Asphalt-Farbig Schraffur,asphalt_colored_hatching,durchgezogen,solid_line,Sperrfläche,prohibited_area,Parken längs,parallel_parking,,-,,-,MS____Keine,,-,,-,,-,hoch,high_traffic_volumen_with_heavy_vehicles,"4,59%","32,11%","43,12%","20,18%","100,00%",68,"1,82"
MS,primary_road,C,bicycle,01_MS_C_1195,,6,,,schmal,narrow,,-,Keine,none,-,-,breit,wide,schmal,narrow,,-,,-,,-,3,3,Kfz,motor_vehicle_only,30,30,FS-Parken/Seitenraum,TODO motor_vehicle_lane;bike_lane;parking_lane_or_pavement,Asphalt-Farbig Schraffur,asphalt_colored_hatching,durchgezogen,solid_line,durchgezogen,solid_line,Parken längs,parallel_parking,,-,,-,MS____Keine,,-,,-,,-,hoch,high_traffic_volumen_with_heavy_vehicles,"3,45%","21,55%","53,45%","21,55%","100,00%",67,"1,96"
MS,primary_road,C,bicycle,01_MS_C_1194,,6,,,schmal,narrow,,-,Keine,none,-,-,breit,wide,breit,wide,,-,,-,,-,2.5,2.5,Kfz,motor_vehicle_only,30,30,FS-Parken/Seitenraum,TODO motor_vehicle_lane;bike_lane;parking_lane_or_pavement,Asphalt-Farbig Schraffur,asphalt_colored_hatching,durchgezogen,solid_line,Doppellinie,double_line,Parken längs,parallel_parking,,-,,-,MS____Keine,,-,,-,,-,hoch,high_traffic_volumen_with_heavy_vehicles,"5,17%","21,55%","53,45%","19,83%","100,00%",77,"1,87"
