imageUrl,TODO: slug,DE: Experiment,location,DE: Kamera,pointOfView,DE: SceneID,sceneId,sceneNumber,sceneIdVehicle,sceneIdBicycle,sceneIdPedestrian,sceneIdCount,DE: Basisszenario,DE: Links_RVA,leftOfBicycleLane,DE: Tr_li-Breite,divideLeftWidthName,divideLeftWidth,DE: Tr_li-Art,divideLeftCategory,DE: Tr_li-baulTrennung,divideLeftStructural,DE: Links_RVA+Tr_li-baulTrennung,leftOfBicycleLaneWithStructuralDivide,DE: RVA-Breite,bicycleLaneWidthName,bicycleLaneWidth,DE: Tr_re-Breite,divideRightWidthName,divideRightWidth,DE: Tr_re-Art,divideRightCategory,DE: GW-Breite,pavementWidthName,pavementWidth,DE: GW-Geschäftsnutzung,pavementHasShops,DE: Breite RVA_nutzbar,bicycleLaneWidthUsable,DE: FS-Art,vehicleLaneUsage,TODO: Kombination leftOf,DE: FS-Geschwindigkeit,vehicleLaneMaxspeed,DE: RVA-Lage,bicycleLaneLanes,DE: RVA-Oberfläche,bicycleLaneSurface,DE: Tr_li-Markierung,divideLeftMarking,DE: Tr_re-Markierung,divideRightMarking,DE: Parken,parkingCategory,DE: Seitenraum,rightOfBicycleLane,DE: Protected,divideIsPhysical,TODO: Durchdenken,DE: Verkehrsaufkommen,motorVehicleTrafficVolumen,vote0Unsafe,vote1RatherUnsafe,vote2Save,vote3VerySave,voteSum,voteScore,voteCount,voteMeans
https://fmb-aws-bucket.s3.eu-central-1.amazonaws.com/KatasterKI/scenes/01_MS_C_399.jpg,,MS,primary_road,C,bicycle,01_MS_C_399,MS_C_399,399,MS_A_399,MS_C_399,,2,4,,,schmal,narrow,0.25,,-,Keine,none,-,-,breit,wide,3.5,-,-,-,,-,,-,-,,-,3.25,3.25,Einbahn,motor_vehicle_only_one_way,motor_vehicle_only_one_way--,50,50,FS-Parken/Seitenraum,TODO motor_vehicle_lane;bike_lane;parking_lane_or_pavement,Asphalt-Farbig,asphalt_colored,unterbrochen,interrupted,-,-,Nein,no_parking,,-,nein,false,MS__nein__Keine,hoch,high_traffic_volumen_with_heavy_vehicles,"0,87%","13,91%","52,17%","33,04%","99,99%","85,21%",74,"2,18"
https://fmb-aws-bucket.s3.eu-central-1.amazonaws.com/KatasterKI/scenes/01_MS_C_4.jpg,,MS,primary_road,C,bicycle,01_MS_C_4,MS_C_4,4,MS_A_4,MS_C_4,,2,1,,,-,-,-,,-,Keine,none,-,-,-,-,-,-,-,-,,-,,-,-,,-,0,0,Kfz,motor_vehicle_only,motor_vehicle_only--,30,30,-,-,-,-,-,-,-,-,Nein,no_parking,,-,nein,false,MS__nein__Keine,hoch,high_traffic_volumen_with_heavy_vehicles,"47,31%","31,38%","17,56%","3,75%","100,00%","21,31%",350,"0,78"
https://fmb-aws-bucket.s3.eu-central-1.amazonaws.com/KatasterKI/scenes/01_MS_C_40.jpg,,MS,primary_road,C,bicycle,01_MS_C_40,MS_C_40,40,MS_A_40,MS_C_40,,2,2,,,breit,wide,0.75,,-,Keine,none,-,-,schmal,narrow,2.0,-,-,-,,-,,-,-,,-,1.25,1.25,Kfz,motor_vehicle_only,motor_vehicle_only--,30,30,FS-Parken/Seitenraum,TODO motor_vehicle_lane;bike_lane;parking_lane_or_pavement,Asphalt-Farbig,asphalt_colored,Sperrfläche,prohibited_area,-,-,Nein,no_parking,,-,nein,false,MS__nein__Keine,hoch,high_traffic_volumen_with_heavy_vehicles,"5,45%","30,00%","41,82%","22,73%","100,00%","64,55%",69,"1,88"
https://fmb-aws-bucket.s3.eu-central-1.amazonaws.com/KatasterKI/scenes/01_MS_C_400.jpg,,MS,primary_road,C,bicycle,01_MS_C_400,MS_C_400,400,MS_A_400,MS_C_400,,2,4,,,schmal,narrow,0.25,,-,Keine,none,-,-,breit,wide,3.5,-,-,-,,-,,-,-,,-,3.25,3.25,Einbahn,motor_vehicle_only_one_way,motor_vehicle_only_one_way--,30,30,FS-Parken/Seitenraum,TODO motor_vehicle_lane;bike_lane;parking_lane_or_pavement,Asphalt-Farbig,asphalt_colored,unterbrochen,interrupted,-,-,Nein,no_parking,,-,nein,false,MS__nein__Keine,hoch,high_traffic_volumen_with_heavy_vehicles,"2,73%","12,73%","48,18%","36,36%","100,00%","84,54%",63,"2,19"
https://fmb-aws-bucket.s3.eu-central-1.amazonaws.com/KatasterKI/scenes/01_MS_C_403.jpg,,MS,primary_road,C,bicycle,01_MS_C_403,MS_C_403,403,MS_A_403,MS_C_403,,2,4,,,schmal,narrow,0.25,,-,Keine,none,-,-,breit,wide,3.5,-,-,-,,-,,-,-,,-,3.25,3.25,Einbahn,motor_vehicle_only_one_way,motor_vehicle_only_one_way--,50,50,FS-Parken/Seitenraum,TODO motor_vehicle_lane;bike_lane;parking_lane_or_pavement,Asphalt,asphalt,durchgezogen,solid_line,-,-,Nein,no_parking,,-,nein,false,MS__nein__Keine,hoch,high_traffic_volumen_with_heavy_vehicles,"3,39%","21,19%","46,61%","28,81%","100,00%","75,42%",75,"2,01"
https://fmb-aws-bucket.s3.eu-central-1.amazonaws.com/KatasterKI/scenes/01_MS_C_404.jpg,,MS,primary_road,C,bicycle,01_MS_C_404,MS_C_404,404,MS_A_404,MS_C_404,,2,4,,,schmal,narrow,0.25,,-,Keine,none,-,-,breit,wide,3.5,-,-,-,,-,,-,-,,-,3.25,3.25,Einbahn,motor_vehicle_only_one_way,motor_vehicle_only_one_way--,30,30,FS-Parken/Seitenraum,TODO motor_vehicle_lane;bike_lane;parking_lane_or_pavement,Asphalt,asphalt,durchgezogen,solid_line,-,-,Nein,no_parking,,-,nein,false,MS__nein__Keine,hoch,high_traffic_volumen_with_heavy_vehicles,"2,24%","13,43%","50,75%","33,58%","100,00%","84,33%",82,"2,17"
https://fmb-aws-bucket.s3.eu-central-1.amazonaws.com/KatasterKI/scenes/01_MS_C_407.jpg,,MS,primary_road,C,bicycle,01_MS_C_407,MS_C_407,407,MS_A_407,MS_C_407,,2,4,,,schmal,narrow,0.25,,-,Keine,none,-,-,breit,wide,3.5,-,-,-,,-,,-,-,,-,3.25,3.25,Einbahn,motor_vehicle_only_one_way,motor_vehicle_only_one_way--,50,50,FS-Parken/Seitenraum,TODO motor_vehicle_lane;bike_lane;parking_lane_or_pavement,Asphalt-Farbig,asphalt_colored,durchgezogen,solid_line,-,-,Nein,no_parking,,-,nein,false,MS__nein__Keine,hoch,high_traffic_volumen_with_heavy_vehicles,"5,11%","9,49%","44,53%","40,88%","100,01%","85,41%",80,"2,18"
https://fmb-aws-bucket.s3.eu-central-1.amazonaws.com/KatasterKI/scenes/01_MS_C_408.jpg,,MS,primary_road,C,bicycle,01_MS_C_408,MS_C_408,408,MS_A_408,MS_C_408,,2,4,,,schmal,narrow,0.25,,-,Keine,none,-,-,breit,wide,3.5,-,-,-,,-,,-,-,,-,3.25,3.25,Einbahn,motor_vehicle_only_one_way,motor_vehicle_only_one_way--,30,30,FS-Parken/Seitenraum,TODO motor_vehicle_lane;bike_lane;parking_lane_or_pavement,Asphalt-Farbig,asphalt_colored,durchgezogen,solid_line,-,-,Nein,no_parking,,-,nein,false,MS__nein__Keine,hoch,high_traffic_volumen_with_heavy_vehicles,"2,68%","8,93%","46,43%","41,96%","100,00%","88,39%",70,"2,36"
https://fmb-aws-bucket.s3.eu-central-1.amazonaws.com/KatasterKI/scenes/01_MS_C_411.jpg,,MS,primary_road,C,bicycle,01_MS_C_411,MS_C_411,411,MS_A_411,MS_C_411,,2,4,,,breit,wide,0.75,,-,Keine,none,-,-,breit,wide,3.5,-,-,-,,-,,-,-,,-,2.75,2.75,Einbahn,motor_vehicle_only_one_way,motor_vehicle_only_one_way--,50,50,FS-Parken/Seitenraum,TODO motor_vehicle_lane;bike_lane;parking_lane_or_pavement,Asphalt,asphalt,Doppellinie,double_line,-,-,Nein,no_parking,,-,nein,false,MS__nein__Keine,hoch,high_traffic_volumen_with_heavy_vehicles,"9,09%","15,15%","45,45%","30,30%","99,99%","75,75%",68,"2,03"
https://fmb-aws-bucket.s3.eu-central-1.amazonaws.com/KatasterKI/scenes/01_MS_C_412.jpg,,MS,primary_road,C,bicycle,01_MS_C_412,MS_C_412,412,MS_A_412,MS_C_412,,2,4,,,breit,wide,0.75,,-,Keine,none,-,-,breit,wide,3.5,-,-,-,,-,,-,-,,-,2.75,2.75,Einbahn,motor_vehicle_only_one_way,motor_vehicle_only_one_way--,30,30,FS-Parken/Seitenraum,TODO motor_vehicle_lane;bike_lane;parking_lane_or_pavement,Asphalt,asphalt,Doppellinie,double_line,-,-,Nein,no_parking,,-,nein,false,MS__nein__Keine,hoch,high_traffic_volumen_with_heavy_vehicles,"3,42%","16,24%","47,86%","32,48%","100,00%","80,34%",74,"2,08"
